Role,Company,Rating,Reviews,Salaries,Jobs,Office Locations,Global Company Size,Industry,Reviews Link,Salaries Link,Jobs Link
Data Engineer,Walmart,3.4,100.7K,132.1K,20.5K,4 office locations,10000+ Employees,General Merchandise & Superstores,https://www.glassdoor.com/Reviews/Walmart-Reviews-E715.htm,https://www.glassdoor.com/Salary/Walmart-Salaries-E715.htm,https://www.glassdoor.com/Jobs/Walmart-Jobs-E715.htm
Data Engineer,Bloomberg L.P.,4.1,6.6K,11.4K,1.2K,28 office locations,10000+ Employees,Computer Hardware Development,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,https://www.glassdoor.com/Salary/Bloomberg-L-P-Salaries-E3096.htm,https://www.glassdoor.com/Jobs/Bloomberg-L-P-Jobs-E3096.htm
Data Engineer,Wells Fargo,3.7,40.7K,62K,14.2K,25 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,https://www.glassdoor.com/Salary/Wells-Fargo-Salaries-E8876.htm,https://www.glassdoor.com/Jobs/Wells-Fargo-Jobs-E8876.htm
Data Engineer,AT&T,3.7,34.9K,52.1K,5.4K,25 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/AT-and-T-Reviews-E613.htm,https://www.glassdoor.com/Salary/AT-and-T-Salaries-E613.htm,https://www.glassdoor.com/Jobs/AT-and-T-Jobs-E613.htm
Data Engineer,Bank of America,4,34.6K,55.3K,9K,25 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm,https://www.glassdoor.com/Salary/Bank-of-America-Salaries-E8874.htm,https://www.glassdoor.com/Jobs/Bank-of-America-Jobs-E8874.htm
Data Engineer,Verizon,3.9,29.4K,40.6K,9.5K,23 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm,https://www.glassdoor.com/Salary/Verizon-Salaries-E89.htm,https://www.glassdoor.com/Jobs/Verizon-Jobs-E89.htm
Data Engineer,Cisco Systems,4.3,28.4K,48.4K,890,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Cisco-Systems-Reviews-E1425.htm,https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm,https://www.glassdoor.com/Jobs/Cisco-Systems-Jobs-E1425.htm
Data Engineer,CVS Health,3.1,31.4K,54.1K,42.6K,27 office locations,10000+ Employees,Health Care Services & Hospitals,https://www.glassdoor.com/Reviews/CVS-Health-Reviews-E437.htm,https://www.glassdoor.com/Salary/CVS-Health-Salaries-E437.htm,https://www.glassdoor.com/Jobs/CVS-Health-Jobs-E437.htm
Data Engineer,Kaiser Permanente,3.9,12.3K,19.5K,10.2K,25 office locations,10000+ Employees,Health Care Services & Hospitals,https://www.glassdoor.com/Reviews/Kaiser-Permanente-Reviews-E19466.htm,https://www.glassdoor.com/Salary/Kaiser-Permanente-Salaries-E19466.htm,https://www.glassdoor.com/Jobs/Kaiser-Permanente-Jobs-E19466.htm
Data Engineer,Wayfair,3.5,4.6K,10.9K,779,2 office locations,10000+ Employees,Home Furniture & Housewares Stores,https://www.glassdoor.com/Reviews/Wayfair-Reviews-E134525.htm,https://www.glassdoor.com/Salary/Wayfair-Salaries-E134525.htm,https://www.glassdoor.com/Jobs/Wayfair-Jobs-E134525.htm
Data Engineer,Citi,3.9,27.2K,29.9K,19.3K,26 office locations,10000+ Employees,Investment & Asset Management,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,https://www.glassdoor.com/Salary/Citi-Salaries-E8843.htm,https://www.glassdoor.com/Jobs/Citi-Jobs-E8843.htm
Data Engineer,Fidelity Investments,4.3,12.5K,19.5K,5.4K,15 office locations,10000+ Employees,Investment & Asset Management,https://www.glassdoor.com/Reviews/Fidelity-Investments-Reviews-E2786.htm,https://www.glassdoor.com/Salary/Fidelity-Investments-Salaries-E2786.htm,https://www.glassdoor.com/Jobs/Fidelity-Investments-Jobs-E2786.htm
Data Engineer,EY,4,60K,54.3K,22.9K,"Headquarters in New York, NY",10000+ Employees,Accounting & Tax,https://www.glassdoor.com/Reviews/EY-Reviews-E2784.htm,https://www.glassdoor.com/Salary/EY-Salaries-E2784.htm,https://www.glassdoor.com/Jobs/EY-Jobs-E2784.htm
Data Engineer,Uber,3.8,21.4K,24.6K,3.1K,74 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Uber-Reviews-E575263.htm,https://www.glassdoor.com/Salary/Uber-Salaries-E575263.htm,https://www.glassdoor.com/Jobs/Uber-Jobs-E575263.htm
Data Engineer,Comcast,3.9,14K,23.7K,3.1K,29 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm,https://www.glassdoor.com/Salary/Comcast-Salaries-E1280.htm,https://www.glassdoor.com/Jobs/Comcast-Jobs-E1280.htm
Data Engineer,Dell Technologies,4.3,28.4K,23.7K,1.5K,25 office locations,10000+ Employees,Information Technology Support Services,https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm,https://www.glassdoor.com/Salary/Dell-Technologies-Salaries-E1327.htm,https://www.glassdoor.com/Jobs/Dell-Technologies-Jobs-E1327.htm
Data Engineer,Booz Allen Hamilton,4.2,7.6K,18.9K,3.1K,25 office locations,10000+ Employees,Business Consulting,https://www.glassdoor.com/Reviews/Booz-Allen-Hamilton-Reviews-E2735.htm,https://www.glassdoor.com/Salary/Booz-Allen-Hamilton-Salaries-E2735.htm,https://www.glassdoor.com/Jobs/Booz-Allen-Hamilton-Jobs-E2735.htm
Data Engineer,KPMG,4,46.8K,28.4K,181,25 office locations,10000+ Employees,Business Consulting,https://www.glassdoor.com/Reviews/KPMG-Reviews-E2867.htm,https://www.glassdoor.com/Salary/KPMG-Salaries-E2867.htm,https://www.glassdoor.com/Jobs/KPMG-Jobs-E2867.htm
Data Engineer,Target,3.6,65.6K,102.9K,14.1K,5 office locations,10000+ Employees,General Merchandise & Superstores,https://www.glassdoor.com/Reviews/Target-Reviews-E194.htm,https://www.glassdoor.com/Salary/Target-Salaries-E194.htm,https://www.glassdoor.com/Jobs/Target-Jobs-E194.htm
Data Engineer,PwC,4,60.5K,49.2K,51.7K,47 office locations,10000+ Employees,Accounting & Tax,https://www.glassdoor.com/Reviews/PwC-Reviews-E8450.htm,https://www.glassdoor.com/Salary/PwC-Salaries-E8450.htm,https://www.glassdoor.com/Jobs/PwC-Jobs-E8450.htm
Data Engineer,Capgemini,3.7,57.7K,18.9K,10K,52 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Capgemini-Reviews-E3803.htm,https://www.glassdoor.com/Salary/Capgemini-Salaries-E3803.htm,https://www.glassdoor.com/Jobs/Capgemini-Jobs-E3803.htm
Data Engineer,Intuit,4.5,8.5K,11.1K,2.2K,18 office locations,10000+ Employees,Computer Hardware Development,https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm,https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm,https://www.glassdoor.com/Jobs/Intuit-Jobs-E2293.htm
Data Engineer,Insight Global,3.9,10.1K,10K,1.8K,64 office locations,1001 to 5000 Employees,HR Consulting,https://www.glassdoor.com/Reviews/Insight-Global-Reviews-E152783.htm,https://www.glassdoor.com/Salary/Insight-Global-Salaries-E152783.htm,https://www.glassdoor.com/Jobs/Insight-Global-Jobs-E152783.htm
Data Engineer,IQVIA,4,10.3K,7K,3.8K,2 office locations,10000+ Employees,Biotech & Pharmaceuticals,https://www.glassdoor.com/Reviews/IQVIA-Reviews-E8347.htm,https://www.glassdoor.com/Salary/IQVIA-Salaries-E8347.htm,https://www.glassdoor.com/Jobs/IQVIA-Jobs-E8347.htm
Data Engineer,Nielsen,3.8,8.1K,6.7K,810,47 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm,https://www.glassdoor.com/Salary/Nielsen-Salaries-E3776.htm,https://www.glassdoor.com/Jobs/Nielsen-Jobs-E3776.htm
Data Engineer,Liberty Mutual Insurance,3.9,7.7K,15.1K,1.7K,14 office locations,10000+ Employees,Insurance Carriers,https://www.glassdoor.com/Reviews/Liberty-Mutual-Insurance-Reviews-E2874.htm,https://www.glassdoor.com/Salary/Liberty-Mutual-Insurance-Salaries-E2874.htm,https://www.glassdoor.com/Jobs/Liberty-Mutual-Insurance-Jobs-E2874.htm
Data Engineer,Boeing,3.9,13.5K,24.7K,4.8K,25 office locations,10000+ Employees,Aerospace & Defense,https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,https://www.glassdoor.com/Salary/Boeing-Salaries-E102.htm,https://www.glassdoor.com/Jobs/Boeing-Jobs-E102.htm
Data Engineer,McKinsey & Company,4.4,7.8K,12.5K,1.9K,25 office locations,10000+ Employees,Business Consulting,https://www.glassdoor.com/Reviews/McKinsey-and-Company-Reviews-E2893.htm,https://www.glassdoor.com/Salary/McKinsey-and-Company-Salaries-E2893.htm,https://www.glassdoor.com/Jobs/McKinsey-and-Company-Jobs-E2893.htm
Data Engineer,Allstate,3.5,8.9K,13.4K,4.2K,24 office locations,10000+ Employees,Insurance Agencies & Brokerages,https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm,https://www.glassdoor.com/Salary/Allstate-Salaries-E2341.htm,https://www.glassdoor.com/Jobs/Allstate-Jobs-E2341.htm
Data Engineer,LinkedIn,4.5,5.4K,8.5K,48,12 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/LinkedIn-Reviews-E34865.htm,https://www.glassdoor.com/Salary/LinkedIn-Salaries-E34865.htm,https://www.glassdoor.com/Jobs/LinkedIn-Jobs-E34865.htm
Data Engineer,Discover,3.9,3.5K,7.1K,1K,25 office locations,1001 to 5000 Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Discover-Reviews-E13990.htm,https://www.glassdoor.com/Salary/Discover-Salaries-E13990.htm,https://www.glassdoor.com/Jobs/Discover-Jobs-E13990.htm
Data Engineer,Optum,3.7,5.6K,8.6K,7.3K,8 office locations,501 to 1000 Employees,Health Care Services & Hospitals,https://www.glassdoor.com/Reviews/Optum-Reviews-E2409113.htm,https://www.glassdoor.com/Salary/Optum-Salaries-E2409113.htm,https://www.glassdoor.com/Jobs/Optum-Jobs-E2409113.htm
Data Engineer,Salesforce,4.4,13.3K,19.3K,6.9K,58 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Salesforce-Reviews-E11159.htm,https://www.glassdoor.com/Salary/Salesforce-Salaries-E11159.htm,https://www.glassdoor.com/Jobs/Salesforce-Jobs-E11159.htm
Data Engineer,American Express,4.3,13.7K,13K,1.7K,22 office locations,10000+ Employees,Financial Transaction Processing,https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm,https://www.glassdoor.com/Salary/American-Express-Salaries-E35.htm,https://www.glassdoor.com/Jobs/American-Express-Jobs-E35.htm
Data Engineer,General Motors (GM),4.1,10.1K,13.5K,1.3K,25 office locations,10000+ Employees,Transportation Equipment Manufacturing,https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm,https://www.glassdoor.com/Salary/General-Motors-GM-Salaries-E279.htm,https://www.glassdoor.com/Jobs/General-Motors-GM-Jobs-E279.htm
Data Engineer,Centene,3.5,3.7K,9K,1K,34 office locations,10000+ Employees,Insurance Carriers,https://www.glassdoor.com/Reviews/Centene-Reviews-E13542.htm,https://www.glassdoor.com/Salary/Centene-Salaries-E13542.htm,https://www.glassdoor.com/Jobs/Centene-Jobs-E13542.htm
Data Engineer,The Home Depot,3.8,39.8K,81.2K,23.2K,"2455 Paces Ferry Rd. SE, Atlanta, GA, 30339",10000+ Employees,Home Furniture & Housewares Stores,https://www.glassdoor.com/Reviews/The-Home-Depot-Reviews-E655.htm,https://www.glassdoor.com/Salary/The-Home-Depot-Salaries-E655.htm,https://www.glassdoor.com/Jobs/The-Home-Depot-Jobs-E655.htm
Business Analyst,J.P. Morgan,4.1,23.7K,23.3K,21,25 office locations,10000+ Employees,Investment & Asset Management,https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm,https://www.glassdoor.com/Salary/J-P-Morgan-Salaries-E145.htm,https://www.glassdoor.com/Jobs/J-P-Morgan-Jobs-E145.htm
Business Analyst,Accenture,4.1,124K,49.6K,51.3K,37 office locations,10000+ Employees,Business Consulting,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm,https://www.glassdoor.com/Salary/Accenture-Salaries-E4138.htm,https://www.glassdoor.com/Jobs/Accenture-Jobs-E4138.htm
Business Analyst,Deloitte,4,82.4K,161.8K,102.4K,27 office locations,10000+ Employees,Accounting & Tax,https://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm,https://www.glassdoor.com/Salary/Deloitte-Salaries-E2763.htm,https://www.glassdoor.com/Jobs/Deloitte-Jobs-E2763.htm
Business Analyst,Bank of America,4,34.6K,55.3K,8.9K,25 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm,https://www.glassdoor.com/Salary/Bank-of-America-Salaries-E8874.htm,https://www.glassdoor.com/Jobs/Bank-of-America-Jobs-E8874.htm
Business Analyst,Citi,3.9,27.2K,29.9K,19.3K,26 office locations,10000+ Employees,Investment & Asset Management,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,https://www.glassdoor.com/Salary/Citi-Salaries-E8843.htm,https://www.glassdoor.com/Jobs/Citi-Jobs-E8843.htm
Business Analyst,UnitedHealth Group,3.7,14.8K,17.2K,3.7K,25 office locations,10000+ Employees,Health Care Services & Hospitals,https://www.glassdoor.com/Reviews/UnitedHealth-Group-Reviews-E1991.htm,https://www.glassdoor.com/Salary/UnitedHealth-Group-Salaries-E1991.htm,https://www.glassdoor.com/Jobs/UnitedHealth-Group-Jobs-E1991.htm
Business Analyst,Cisco Systems,4.3,28.4K,48.4K,890,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Cisco-Systems-Reviews-E1425.htm,https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm,https://www.glassdoor.com/Jobs/Cisco-Systems-Jobs-E1425.htm
Business Analyst,Wells Fargo,3.7,40.7K,62K,14K,25 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Wells-Fargo-Reviews-E8876.htm,https://www.glassdoor.com/Salary/Wells-Fargo-Salaries-E8876.htm,https://www.glassdoor.com/Jobs/Wells-Fargo-Jobs-E8876.htm
Business Analyst,IBM,4.1,91.4K,76.4K,11.5K,37 office locations,10000+ Employees,Information Technology Support Services,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,https://www.glassdoor.com/Jobs/IBM-Jobs-E354.htm
Business Analyst,Capital One,4.2,13.2K,28.8K,5.4K,32 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,https://www.glassdoor.com/Salary/Capital-One-Salaries-E3736.htm,https://www.glassdoor.com/Jobs/Capital-One-Jobs-E3736.htm
Business Analyst,Amazon,3.8,134.9K,170.5K,91.9K,65 office locations,10000+ Employees,Internet & Web Services,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm,https://www.glassdoor.com/Salary/Amazon-Salaries-E6036.htm,https://www.glassdoor.com/Jobs/Amazon-Jobs-E6036.htm
Business Analyst,Target,3.6,65.6K,102.9K,14.1K,5 office locations,10000+ Employees,General Merchandise & Superstores,https://www.glassdoor.com/Reviews/Target-Reviews-E194.htm,https://www.glassdoor.com/Salary/Target-Salaries-E194.htm,https://www.glassdoor.com/Jobs/Target-Jobs-E194.htm
Business Analyst,Capgemini,3.7,57.7K,18.9K,10.1K,52 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Capgemini-Reviews-E3803.htm,https://www.glassdoor.com/Salary/Capgemini-Salaries-E3803.htm,https://www.glassdoor.com/Jobs/Capgemini-Jobs-E3803.htm
Business Analyst,Boeing,3.9,13.5K,24.7K,4.8K,25 office locations,10000+ Employees,Aerospace & Defense,https://www.glassdoor.com/Reviews/Boeing-Reviews-E102.htm,https://www.glassdoor.com/Salary/Boeing-Salaries-E102.htm,https://www.glassdoor.com/Jobs/Boeing-Jobs-E102.htm
Business Analyst,Cognizant Technology Solutions,3.8,78.2K,68.8K,7.2K,27 office locations,10000+ Employees,Information Technology Support Services,https://www.glassdoor.com/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm,https://www.glassdoor.com/Salary/Cognizant-Technology-Solutions-Salaries-E8014.htm,https://www.glassdoor.com/Jobs/Cognizant-Technology-Solutions-Jobs-E8014.htm
Business Analyst,Oracle,3.9,42.8K,60.6K,9.7K,44 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Oracle-Reviews-E1737.htm,https://www.glassdoor.com/Salary/Oracle-Salaries-E1737.htm,https://www.glassdoor.com/Jobs/Oracle-Jobs-E1737.htm
Business Analyst,Dell Technologies,4.3,28.4K,23.7K,1.5K,25 office locations,10000+ Employees,Information Technology Support Services,https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm,https://www.glassdoor.com/Salary/Dell-Technologies-Salaries-E1327.htm,https://www.glassdoor.com/Jobs/Dell-Technologies-Jobs-E1327.htm
Business Analyst,Kaiser Permanente,3.9,12.3K,19.5K,10.2K,25 office locations,10000+ Employees,Health Care Services & Hospitals,https://www.glassdoor.com/Reviews/Kaiser-Permanente-Reviews-E19466.htm,https://www.glassdoor.com/Salary/Kaiser-Permanente-Salaries-E19466.htm,https://www.glassdoor.com/Jobs/Kaiser-Permanente-Jobs-E19466.htm
Business Analyst,TEKsystems,4,8.7K,9.3K,1.6K,38 office locations,1001 to 5000 Employees,HR Consulting,https://www.glassdoor.com/Reviews/TEKsystems-Reviews-E23297.htm,https://www.glassdoor.com/Salary/TEKsystems-Salaries-E23297.htm,https://www.glassdoor.com/Jobs/TEKsystems-Jobs-E23297.htm
Business Analyst,Verizon,3.9,29.4K,40.6K,9.5K,23 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm,https://www.glassdoor.com/Salary/Verizon-Salaries-E89.htm,https://www.glassdoor.com/Jobs/Verizon-Jobs-E89.htm
Business Analyst,Thomson Reuters,3.8,13.4K,10K,1.3K,17 office locations,10000+ Employees,Enterprise Software & Network Solutions,https://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm,https://www.glassdoor.com/Salary/Thomson-Reuters-Salaries-E100303.htm,https://www.glassdoor.com/Jobs/Thomson-Reuters-Jobs-E100303.htm
Business Analyst,T-Mobile,3.9,16.5K,25.5K,5.9K,25 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/T-Mobile-Reviews-E9302.htm,https://www.glassdoor.com/Salary/T-Mobile-Salaries-E9302.htm,https://www.glassdoor.com/Jobs/T-Mobile-Jobs-E9302.htm
Business Analyst,PNC Financial Services Group,3.6,8.4K,17.3K,4.5K,10 office locations,10000+ Employees,Banking & Lending,https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm,https://www.glassdoor.com/Salary/PNC-Financial-Services-Group-Salaries-E507.htm,https://www.glassdoor.com/Jobs/PNC-Financial-Services-Group-Jobs-E507.htm
Business Analyst,Spectrum,3.3,11.9K,17.9K,7.2K,96 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm,https://www.glassdoor.com/Salary/Spectrum-Salaries-E1500006.htm,https://www.glassdoor.com/Jobs/Spectrum-Jobs-E1500006.htm
Business Analyst,Comcast,3.9,14K,23.7K,3.2K,29 office locations,10000+ Employees,Telecommunications Services,https://www.glassdoor.com/Reviews/Comcast-Reviews-E1280.htm,https://www.glassdoor.com/Salary/Comcast-Salaries-E1280.htm,https://www.glassdoor.com/Jobs/Comcast-Jobs-E1280.htm
